text,label
Wipro reports a 18% decline in net profit.,negative
Kotak Mahindra Bank reports a 7% rise in quarterly revenue.,positive
Investors cheer as SBI secures major contract worth INR 4120 crore.,positive
HDFC Bank introduces a new product line in the domestic market.,neutral
Shares of Asian Paints trade flat amid mixed market sentiment.,neutral
Shares of Asian Paints fall after weak Q2 results.,negative
Power Grid stock plunges 6% amid concerns over debt levels.,negative
Investors exit Sun Pharma after disappointing Q3 guidance.,negative
Tech Mahindra misses earnings estimates with 8% drop in profit.,negative
Shares of Axis Bank surge after strong Q3 results.,positive
Wipro faces regulatory investigation over irregularities.,negative
Asian Paints stock hits 52-week high on strong demand.,positive
ITC announces organizational restructuring.,neutral
HDFC Bank stock plunges 8% amid concerns over debt levels.,negative
Axis Bank reports a 23% rise in quarterly revenue.,positive
Analysts downgrade Sun Pharma citing poor performance.,negative
Infosys posts losses of INR 4557 crore this quarter.,negative
Shares of Hindustan Unilever surge after strong Q4 results.,positive
Shares of ICICI Bank fall after weak Q1 results.,negative
Analysts downgrade Adani Ports citing poor performance.,negative
HDFC Bank reports a 16% decline in net profit.,negative
Power Grid announces organizational restructuring.,neutral
JSW Steel completes acquisition of Logistics Inc.,neutral
Axis Bank misses earnings estimates with 5% drop in profit.,negative
Power Grid stock plunges 17% amid concerns over debt levels.,negative
Shares of Mahindra & Mahindra surge after strong Q2 results.,positive
Mahindra & Mahindra reports robust performance with revenue of INR 1720 crore in Q4.,positive
Tata Motors introduces a new product line in the domestic market.,neutral
JSW Steel completes successful acquisition of Digital Services.,positive
Cipla schedules board meeting for Q3.,neutral
Tech Mahindra beats market expectations with 24% profit growth.,positive
Wipro announces 16% increase in dividend payout.,positive
Dr. Reddy's schedules board meeting for Q3.,neutral
Hindustan Unilever schedules board meeting for Q4.,neutral
ITC posts record profits of INR 2631 crore.,positive
Axis Bank reports a 20% rise in quarterly revenue.,positive
Titan Company schedules board meeting for Q2.,neutral
Shares of Infosys trade flat amid mixed market sentiment.,neutral
TCS introduces a new product line in the domestic market.,neutral
TCS faces regulatory investigation over irregularities.,negative
Market participants await JSW Steel quarterly results.,neutral
Analysts downgrade Hindustan Unilever citing poor performance.,negative
Market participants await UltraTech Cement quarterly results.,neutral
SBI completes acquisition of Energy Solutions.,neutral
Investors cheer as ITC secures major contract worth INR 2125 crore.,positive
Kotak Mahindra Bank reports robust performance with revenue of INR 865 crore in Q2.,positive
ITC reports a 17% decline in net profit.,negative
Tata Motors introduces a new product line in the domestic market.,neutral
Infosys completes acquisition of Digital Services.,neutral
HCL Technologies introduces a new product line in the domestic market.,neutral
ITC posts record profits of INR 3780 crore.,positive
JSW Steel faces legal challenges impacting market confidence.,negative
Shares of Kotak Mahindra Bank surge after strong Q1 results.,positive
Tata Motors introduces a new product line in the domestic market.,neutral
Shares of Maruti Suzuki fall after weak Q4 results.,negative
Shares of ICICI Bank fall after weak Q2 results.,negative
Shares of Reliance Industries surge after strong Q4 results.,positive
Investors exit Tech Mahindra after disappointing Q4 guidance.,negative
HDFC Bank faces legal challenges impacting market confidence.,negative
Market participants await Wipro quarterly results.,neutral
Regulatory action against Reliance Industries triggers sell-off.,negative
Wipro faces regulatory investigation over irregularities.,negative
HDFC Bank misses earnings estimates with 17% drop in profit.,negative
TCS faces legal challenges impacting market confidence.,negative
Shares of Hindustan Unilever fall after weak Q3 results.,negative
Investors cheer as SBI secures major contract worth INR 1593 crore.,positive
Investors cheer as Tata Motors secures major contract worth INR 4608 crore.,positive
Investors cheer as Power Grid secures major contract worth INR 1689 crore.,positive
HCL Technologies stock plunges 14% amid concerns over debt levels.,negative
Asian Paints announces leadership changes in key divisions.,neutral
Titan Company announces organizational restructuring.,neutral
Axis Bank faces legal challenges impacting market confidence.,negative
Market participants await TCS quarterly results.,neutral
Shares of Sun Pharma trade flat amid mixed market sentiment.,neutral
Wipro announces organizational restructuring.,neutral
Investors cheer as Bharti Airtel secures major contract worth INR 1734 crore.,positive
Maruti Suzuki faces legal challenges impacting market confidence.,negative
Kotak Mahindra Bank schedules board meeting for Q3.,neutral
Analysts downgrade Power Grid citing poor performance.,negative
Investors exit Kotak Mahindra Bank after disappointing Q3 guidance.,negative
Sun Pharma completes successful acquisition of Logistics Inc.,positive
